epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.453,2.38486,7.78819,2.84596,0.43673,0.13282,0.0431,0.01597,2.41357,4.2648,2.78966,0.0002352,0.0002352,0.0002352
2,68.9703,2.08455,3.62406,2.42961,0.44347,0.17344,0.10413,0.03975,2.19267,11.74,2.51966,0.000468515,0.000468515,0.000468515
3,102.532,2.09442,3.04701,2.37908,0.75539,0.09795,0.18352,0.04419,2.31664,5.56134,2.55419,0.000697118,0.000697118,0.000697118
4,136.126,2.05099,2.77836,2.3526,0.88468,0.09436,0.17556,0.07512,2.07598,3.05461,2.35198,0.000692794,0.000692794,0.000692794
5,170.072,1.97469,2.5099,2.24384,0.89162,0.09879,0.14037,0.07083,2.25931,3.37103,2.3921,0.000685726,0.000685726,0.000685726
6,204.184,1.95031,2.24643,2.2125,0.68685,0.20637,0.20521,0.10248,2.01946,3.46891,2.20435,0.000678657,0.000678657,0.000678657
7,238.308,1.90398,2.10852,2.16509,0.45868,0.35773,0.28191,0.12852,2.06077,2.47228,2.28752,0.000671588,0.000671588,0.000671588
8,272.551,1.86344,1.85847,2.15157,0.63315,0.18954,0.302,0.13946,1.99496,2.25299,2.2255,0.00066452,0.00066452,0.00066452
9,306.691,1.81135,1.72588,2.07097,0.49224,0.53553,0.53749,0.23532,2.02903,2.09833,2.21909,0.000657451,0.000657451,0.000657451
10,340.822,1.76967,1.6416,2.03122,0.41252,0.44639,0.3655,0.17298,1.99331,2.47111,2.16861,0.000650383,0.000650383,0.000650383
11,375.049,1.77549,1.58661,2.02443,0.48743,0.4756,0.5292,0.23291,2.0021,1.84977,2.20221,0.000643314,0.000643314,0.000643314
12,409.14,1.69078,1.37355,1.94478,0.64085,0.59465,0.61047,0.30702,1.94199,1.63217,2.07262,0.000636245,0.000636245,0.000636245
