epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3849,2.94404,6.5971,2.50517,0.00057,0.03304,0.00035,5e-05,3.31497,4.3677,2.62697,0.0701322,0.00331865,0.00331865
2,65.709,2.73939,5.30374,2.21557,0.0006,0.127,0.00044,0.0001,2.85159,4.65505,2.66136,0.0400663,0.00658613,0.00658613
3,96.7804,2.7008,4.74814,2.2332,0.67917,0.00942,0.00166,0.00037,2.77779,4.54955,2.58647,0.00993445,0.00978761,0.00978761
4,127.538,2.70083,4.56974,2.21738,0.0012,0.04073,0.00088,0.00025,3.09992,5.2177,2.63816,0.009703,0.009703,0.009703
5,158.597,2.65155,4.29635,2.2119,0.00117,0.05793,0.00081,0.00032,2.87965,5.22559,2.46642,0.009604,0.009604,0.009604
6,189.737,2.58611,4.08397,2.1739,0.00403,0.10752,0.00538,0.00199,2.8101,4.98194,2.49578,0.009505,0.009505,0.009505
7,222.619,2.56185,3.97299,2.14106,0.38487,0.05868,0.0422,0.01182,2.49105,3.56857,2.20283,0.009406,0.009406,0.009406
8,257.414,2.52775,3.86529,2.12497,0.18384,0.01925,0.00745,0.00224,2.80954,4.69461,2.40883,0.009307,0.009307,0.009307
9,290.486,2.47257,3.73702,2.10285,0.57048,0.07881,0.06342,0.01745,2.47674,3.70196,2.2034,0.009208,0.009208,0.009208
10,323.789,2.46422,3.66847,2.11693,0.54657,0.0379,0.0397,0.01504,2.4062,3.63187,2.29805,0.009109,0.009109,0.009109
11,357.115,2.42981,3.65892,2.08909,0.42522,0.07991,0.0713,0.02373,2.45294,3.31749,2.19011,0.00901,0.00901,0.00901
12,390.374,2.4019,3.51315,2.09164,0.42696,0.12107,0.09957,0.03239,2.38131,3.2779,2.19429,0.008911,0.008911,0.008911
13,423.27,2.3608,3.42618,2.06679,0.14338,0.15792,0.11324,0.04332,2.34681,3.44641,2.19504,0.008812,0.008812,0.008812
14,455.682,2.33508,3.34407,2.05644,0.1962,0.14228,0.10734,0.03407,2.3182,3.24236,2.19088,0.008713,0.008713,0.008713
15,488.404,2.35583,3.2737,2.02829,0.65321,0.14212,0.14261,0.05517,2.31182,3.05602,2.11834,0.008614,0.008614,0.008614
16,521.101,2.33246,3.27825,2.02097,0.10814,0.11822,0.10396,0.03791,2.35407,3.21371,2.24808,0.008515,0.008515,0.008515
17,554.199,2.30265,3.19083,1.98877,0.35922,0.09962,0.0904,0.03145,2.43093,3.53681,2.16896,0.008416,0.008416,0.008416
18,586.59,2.30455,3.1633,1.97846,0.33333,0.17898,0.1176,0.04095,2.34394,3.0934,2.11295,0.008317,0.008317,0.008317
19,619.282,2.27805,3.11367,1.9653,0.26511,0.16057,0.1475,0.05545,2.35727,3.0742,2.11992,0.008218,0.008218,0.008218
