epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.762,2.43242,8.58265,2.62143,0.71766,0.06799,0.08179,0.0385,2.39546,3.7419,2.53143,0.000158158,0.000158158,0.000158158
2,439.061,2.25932,3.85154,2.3775,0.49082,0.0812,0.03227,0.01178,2.43192,4.2761,2.41595,0.000301142,0.000301142,0.000301142
3,654.904,2.23054,3.43339,2.3255,0.81769,0.07783,0.12372,0.05618,2.3262,3.77478,2.4413,0.000428418,0.000428418,0.000428418
4,870.113,2.1704,3.11756,2.30102,0.77336,0.12086,0.17059,0.07849,2.23202,3.14254,2.36429,0.000405314,0.000405314,0.000405314
5,1085.07,2.08183,2.75868,2.22052,0.41677,0.22175,0.19818,0.08122,2.32068,3.0134,2.34495,0.000381752,0.000381752,0.000381752
6,1300.19,2.0144,2.54555,2.16216,0.47272,0.24316,0.2507,0.10201,2.18616,2.61979,2.21171,0.00035819,0.00035819,0.00035819
7,1515.42,1.96319,2.29515,2.10924,0.49551,0.3376,0.31029,0.12812,2.15575,2.61991,2.25644,0.000334628,0.000334628,0.000334628
8,1730.56,1.89337,2.0804,2.06246,0.32891,0.42518,0.38298,0.16888,2.1868,2.47731,2.2147,0.000311066,0.000311066,0.000311066
9,1945.74,1.84955,1.91428,2.00295,0.54286,0.31987,0.402,0.18025,2.18044,2.40859,2.26773,0.000287504,0.000287504,0.000287504
10,2160.88,1.76728,1.7737,1.93534,0.38523,0.45339,0.45468,0.21614,2.19458,2.42643,2.27605,0.000263942,0.000263942,0.000263942
11,2377.26,1.72843,1.60251,1.90134,0.54773,0.47387,0.52404,0.22554,2.17997,2.35193,2.22294,0.00024038,0.00024038,0.00024038
12,2591.95,1.67384,1.47,1.84231,0.49656,0.50187,0.52686,0.23913,2.19767,2.26165,2.26596,0.000216818,0.000216818,0.000216818
13,2806.62,1.62561,1.33555,1.81723,0.61494,0.51024,0.57819,0.26221,2.21925,2.27194,2.28612,0.000193256,0.000193256,0.000193256
14,3021.25,1.55152,1.22142,1.74497,0.64594,0.55395,0.60679,0.30657,2.2091,2.4834,2.31778,0.000169694,0.000169694,0.000169694
15,3236.13,1.48179,1.07971,1.66992,0.61088,0.59466,0.64343,0.29353,2.31229,2.34864,2.42005,0.000146132,0.000146132,0.000146132
16,3450.76,1.43065,0.98906,1.63308,0.60117,0.59022,0.64256,0.31721,2.28203,2.44988,2.35924,0.00012257,0.00012257,0.00012257
17,3665.52,1.37787,0.90146,1.58717,0.66611,0.59878,0.65193,0.32022,2.33108,2.487,2.43575,9.9008e-05,9.9008e-05,9.9008e-05
18,3880.33,1.31564,0.82198,1.54392,0.63816,0.61176,0.65008,0.31945,2.3172,2.54148,2.43868,7.5446e-05,7.5446e-05,7.5446e-05
19,4095.07,1.24099,0.74394,1.47275,0.68409,0.60408,0.65846,0.32873,2.34203,2.46532,2.51831,5.1884e-05,5.1884e-05,5.1884e-05
20,4309.88,1.19866,0.70588,1.42969,0.66609,0.61631,0.66414,0.34575,2.30985,2.52891,2.45652,2.8322e-05,2.8322e-05,2.8322e-05
